OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,sigma_x,sigma_y,sigma_z
STARLINK-1008,2019-074B,2025-07-31T23:15:03.751488,15.06396996,0.0001278,53.0545,97.4753,82.3855,277.7279,0,U,44714,999,31548,0.00020482,2.77e-05,0.0,0.5,0.5,0.5
STARLINK-1010,2019-074D,2025-07-31T22:00:01.999584,15.63201326,0.0003107,53.0537,70.414,203.3956,46.129,0,U,44716,999,592,0.0012968,0.00122145,0.0,0.5,0.5,0.5
STARLINK-1011,2019-074E,2025-08-01T06:00:02.000160,15.1501573,0.0001796,53.0538,116.0772,85.1009,41.6479,0,U,44717,999,31541,0.085747,0.01780192,0.0,0.5,0.5,0.5
STARLINK-1012,2019-074F,2025-07-31T22:43:13.415520,15.06389617,0.0001269,53.0554,97.5754,91.6389,268.4745,0,U,44718,999,31547,6.3114e-05,6.59e-06,0.0,0.5,0.5,0.5
STARLINK-1013,2019-074G,2025-07-31T22:00:01.999584,15.90288104,0.0003075,53.0451,57.1923,112.944,277.0899,0,U,44719,999,31620,0.00097692,0.00300804,4.4453e-05,0.5,0.5,0.5
STARLINK-1015,2019-074J,2025-08-01T06:00:02.000160,15.74822337,0.0006597,53.0511,61.8889,110.5886,113.2502,0,U,44721,999,31616,0.00059254,0.00089619,0.0,0.5,0.5,0.5
STARLINK-1017,2019-074L,2025-07-31T22:37:47.684928,15.08403699,0.0003264,53.0536,97.2062,94.7532,265.3831,0,U,44723,999,31548,0.00089207,0.00013772,0.0,0.5,0.5,0.5
STARLINK-1019,2019-074M,2025-07-31T22:37:53.945472,15.06390638,0.000142,53.0541,97.5897,90.9793,269.1359,0,U,44724,999,31564,-0.00015979,-2.66e-05,0.0,0.5,0.5,0.5
STARLINK-1020,2019-074N,2025-07-31T22:45:52.271424,15.0639373,0.000164,53.0553,117.5655,121.5359,238.579,0,U,44725,999,31519,4.0378e-05,3.2e-06,0.0,0.5,0.5,0.5
STARLINK-1021,2019-074P,2025-07-31T22:00:01.999584,15.70698992,0.0008092,53.048,67.6199,113.4307,243.4795,0,U,44726,999,564,0.0012888,0.00165649,0.0,0.5,0.5,0.5
STARLINK-1029,2019-074X,2025-08-01T06:00:02.000160,15.67996473,0.0007617,53.0573,348.1169,280.4391,127.3649,0,U,44734,999,31718,0.0022274,0.0025924,0.0,0.5,0.5,0.5
STARLINK-1030,2019-074Y,2025-08-01T06:00:02.000160,15.77850889,0.0006609,53.0478,85.6323,100.8795,83.2387,0,U,44735,999,31583,0.00083492,0.00145633,0.0,0.5,0.5,0.5
STARLINK-1031,2019-074Z,2025-07-31T21:38:48.735744,15.30727022,0.0005165,53.0579,107.3904,81.2767,278.8818,0,U,44736,999,31534,0.0012996,0.00038982,0.0,0.5,0.5,0.5
